year,state,city,offence_category,offence_sub_category,value,unit,notes
2022,Gujarat,Ahmedabad,Tampering Computer Source documents,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Offences otherthan Ransomware (Sec 66),2,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Identity Theft,22,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Cheating by personation by using computer resource,2,value in absolute number,
2022,Gujarat,Ahmedabad,Computer Related Offences,Violation of Privacy,1,value in absolute number,
2022,Gujarat,Ahmedabad,Cyber Terrorism,,1,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,45,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,2,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,2,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Gujarat,Ahmedabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Gujarat,Ahmedabad,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Abetment to Commit Offences,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Attempt to Commit Offences,,1,value in absolute number,
2022,Gujarat,Ahmedabad,Others,,0,value in absolute number,
2022,Gujarat,Ahmedabad,Total,,78,value in absolute number,
2022,Karnataka,Bengaluru,Tampering Computer Source documents,,4,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Ransomware (Section 66),183,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Offences otherthan Ransomware (Sec 66),77,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,2,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Identity Theft,2876,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Cheating by personation by using computer resource,6319,value in absolute number,
2022,Karnataka,Bengaluru,Computer Related Offences,Violation of Privacy,44,value in absolute number,
2022,Karnataka,Bengaluru,Cyber Terrorism,,1,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,292,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,55,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,67,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,1,value in absolute number,
2022,Karnataka,Bengaluru,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,7,value in absolute number,
2022,Karnataka,Bengaluru,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Karnataka,Bengaluru,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Karnataka,Bengaluru,Abetment to Commit Offences,,0,value in absolute number,
2022,Karnataka,Bengaluru,Attempt to Commit Offences,,3,value in absolute number,
2022,Karnataka,Bengaluru,Others,,9,value in absolute number,
2022,Karnataka,Bengaluru,Total,,9940,value in absolute number,
2022,Tamil Nadu,Chennai,Tampering Computer Source documents,,1,value in absolute number,
2022,Tamil Nadu,Chennai,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Tamil Nadu,Chennai,Computer Related Offences,Offences otherthan Ransomware (Sec 66),8,value in absolute number,
2022,Tamil Nadu,Chennai,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,2,value in absolute number,
2022,Tamil Nadu,Chennai,Computer Related Offences,Identity Theft,7,value in absolute number,
2022,Tamil Nadu,Chennai,Computer Related Offences,Cheating by personation by using computer resource,25,value in absolute number,
2022,Tamil Nadu,Chennai,Computer Related Offences,Violation of Privacy,4,value in absolute number,
2022,Tamil Nadu,Chennai,Cyber Terrorism,,0,value in absolute number,
2022,Tamil Nadu,Chennai,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,39,value in absolute number,
2022,Tamil Nadu,Chennai,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,11,value in absolute number,
2022,Tamil Nadu,Chennai,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,1,value in absolute number,
2022,Tamil Nadu,Chennai,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Tamil Nadu,Chennai,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Tamil Nadu,Chennai,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Tamil Nadu,Chennai,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Tamil Nadu,Chennai,Abetment to Commit Offences,,0,value in absolute number,
2022,Tamil Nadu,Chennai,Attempt to Commit Offences,,0,value in absolute number,
2022,Tamil Nadu,Chennai,Others,,1,value in absolute number,
2022,Tamil Nadu,Chennai,Total,,99,value in absolute number,
2022,Tamil Nadu,Coimbatore,Tampering Computer Source documents,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Computer Related Offences,Offences otherthan Ransomware (Sec 66),0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Computer Related Offences,Identity Theft,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Computer Related Offences,Cheating by personation by using computer resource,4,value in absolute number,
2022,Tamil Nadu,Coimbatore,Computer Related Offences,Violation of Privacy,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Cyber Terrorism,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Abetment to Commit Offences,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Attempt to Commit Offences,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Others,,0,value in absolute number,
2022,Tamil Nadu,Coimbatore,Total,,4,value in absolute number,
2022,Delhi,Delhi City,Tampering Computer Source documents,,3,value in absolute number,
2022,Delhi,Delhi City,Computer Related Offences,Ransomware (Section 66),1,value in absolute number,
2022,Delhi,Delhi City,Computer Related Offences,Offences otherthan Ransomware (Sec 66),6,value in absolute number,
2022,Delhi,Delhi City,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,3,value in absolute number,
2022,Delhi,Delhi City,Computer Related Offences,Identity Theft,33,value in absolute number,
2022,Delhi,Delhi City,Computer Related Offences,Cheating by personation by using computer resource,5,value in absolute number,
2022,Delhi,Delhi City,Computer Related Offences,Violation of Privacy,7,value in absolute number,
2022,Delhi,Delhi City,Cyber Terrorism,,0,value in absolute number,
2022,Delhi,Delhi City,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,21,value in absolute number,
2022,Delhi,Delhi City,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,34,value in absolute number,
2022,Delhi,Delhi City,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,116,value in absolute number,
2022,Delhi,Delhi City,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Delhi,Delhi City,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,13,value in absolute number,
2022,Delhi,Delhi City,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Delhi,Delhi City,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Delhi,Delhi City,Abetment to Commit Offences,,0,value in absolute number,
2022,Delhi,Delhi City,Attempt to Commit Offences,,0,value in absolute number,
2022,Delhi,Delhi City,Others,,7,value in absolute number,
2022,Delhi,Delhi City,Total,,249,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Tampering Computer Source documents,,1,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Computer Related Offences,Offences otherthan Ransomware (Sec 66),4,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,1,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Computer Related Offences,Identity Theft,8,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Computer Related Offences,Cheating by personation by using computer resource,501,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Computer Related Offences,Violation of Privacy,8,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Cyber Terrorism,,0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,76,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,24,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,1,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,1,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Abetment to Commit Offences,,0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Attempt to Commit Offences,,0,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Others,,1,value in absolute number,
2022,Uttar Pradesh,Ghaziabad,Total,,626,value in absolute number,
2022,Telangana,Hyderabad,Tampering Computer Source documents,,0,value in absolute number,
2022,Telangana,Hyderabad,Computer Related Offences,Ransomware (Section 66),36,value in absolute number,
2022,Telangana,Hyderabad,Computer Related Offences,Offences otherthan Ransomware (Sec 66),0,value in absolute number,
2022,Telangana,Hyderabad,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,1,value in absolute number,
2022,Telangana,Hyderabad,Computer Related Offences,Identity Theft,72,value in absolute number,
2022,Telangana,Hyderabad,Computer Related Offences,Cheating by personation by using computer resource,108,value in absolute number,
2022,Telangana,Hyderabad,Computer Related Offences,Violation of Privacy,0,value in absolute number,
2022,Telangana,Hyderabad,Cyber Terrorism,,0,value in absolute number,
2022,Telangana,Hyderabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,35,value in absolute number,
2022,Telangana,Hyderabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,24,value in absolute number,
2022,Telangana,Hyderabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,2,value in absolute number,
2022,Telangana,Hyderabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,1,value in absolute number,
2022,Telangana,Hyderabad,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Telangana,Hyderabad,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Telangana,Hyderabad,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Telangana,Hyderabad,Abetment to Commit Offences,,0,value in absolute number,
2022,Telangana,Hyderabad,Attempt to Commit Offences,,0,value in absolute number,
2022,Telangana,Hyderabad,Others,,3,value in absolute number,
2022,Telangana,Hyderabad,Total,,282,value in absolute number,
2022,Madhya Pradesh,Indore,Tampering Computer Source documents,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Madhya Pradesh,Indore,Computer Related Offences,Offences otherthan Ransomware (Sec 66),0,value in absolute number,
2022,Madhya Pradesh,Indore,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Madhya Pradesh,Indore,Computer Related Offences,Identity Theft,1,value in absolute number,
2022,Madhya Pradesh,Indore,Computer Related Offences,Cheating by personation by using computer resource,0,value in absolute number,
2022,Madhya Pradesh,Indore,Computer Related Offences,Violation of Privacy,0,value in absolute number,
2022,Madhya Pradesh,Indore,Cyber Terrorism,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,0,value in absolute number,
2022,Madhya Pradesh,Indore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,4,value in absolute number,
2022,Madhya Pradesh,Indore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,1,value in absolute number,
2022,Madhya Pradesh,Indore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Madhya Pradesh,Indore,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Madhya Pradesh,Indore,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Abetment to Commit Offences,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Attempt to Commit Offences,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Others,,0,value in absolute number,
2022,Madhya Pradesh,Indore,Total,,6,value in absolute number,
2022,Rajasthan,Jaipur,Tampering Computer Source documents,,0,value in absolute number,
2022,Rajasthan,Jaipur,Computer Related Offences,Ransomware (Section 66),1,value in absolute number,
2022,Rajasthan,Jaipur,Computer Related Offences,Offences otherthan Ransomware (Sec 66),11,value in absolute number,
2022,Rajasthan,Jaipur,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Rajasthan,Jaipur,Computer Related Offences,Identity Theft,31,value in absolute number,
2022,Rajasthan,Jaipur,Computer Related Offences,Cheating by personation by using computer resource,61,value in absolute number,
2022,Rajasthan,Jaipur,Computer Related Offences,Violation of Privacy,3,value in absolute number,
2022,Rajasthan,Jaipur,Cyber Terrorism,,0,value in absolute number,
2022,Rajasthan,Jaipur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,9,value in absolute number,
2022,Rajasthan,Jaipur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,15,value in absolute number,
2022,Rajasthan,Jaipur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,11,value in absolute number,
2022,Rajasthan,Jaipur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,5,value in absolute number,
2022,Rajasthan,Jaipur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Rajasthan,Jaipur,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Rajasthan,Jaipur,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Rajasthan,Jaipur,Abetment to Commit Offences,,0,value in absolute number,
2022,Rajasthan,Jaipur,Attempt to Commit Offences,,0,value in absolute number,
2022,Rajasthan,Jaipur,Others,,76,value in absolute number,
2022,Rajasthan,Jaipur,Total,,223,value in absolute number,
2022,Uttar Pradesh,Kanpur,Tampering Computer Source documents,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Computer Related Offences,Offences otherthan Ransomware (Sec 66),311,value in absolute number,
2022,Uttar Pradesh,Kanpur,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Computer Related Offences,Identity Theft,139,value in absolute number,
2022,Uttar Pradesh,Kanpur,Computer Related Offences,Cheating by personation by using computer resource,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Computer Related Offences,Violation of Privacy,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Cyber Terrorism,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,91,value in absolute number,
2022,Uttar Pradesh,Kanpur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Abetment to Commit Offences,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Attempt to Commit Offences,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Others,,0,value in absolute number,
2022,Uttar Pradesh,Kanpur,Total,,541,value in absolute number,
2022,Kerala,Kochi,Tampering Computer Source documents,,0,value in absolute number,
2022,Kerala,Kochi,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Kerala,Kochi,Computer Related Offences,Offences otherthan Ransomware (Sec 66),2,value in absolute number,
2022,Kerala,Kochi,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Kerala,Kochi,Computer Related Offences,Identity Theft,2,value in absolute number,
2022,Kerala,Kochi,Computer Related Offences,Cheating by personation by using computer resource,2,value in absolute number,
2022,Kerala,Kochi,Computer Related Offences,Violation of Privacy,1,value in absolute number,
2022,Kerala,Kochi,Cyber Terrorism,,0,value in absolute number,
2022,Kerala,Kochi,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,5,value in absolute number,
2022,Kerala,Kochi,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,2,value in absolute number,
2022,Kerala,Kochi,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,9,value in absolute number,
2022,Kerala,Kochi,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Kerala,Kochi,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Kerala,Kochi,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Kerala,Kochi,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Kerala,Kochi,Abetment to Commit Offences,,0,value in absolute number,
2022,Kerala,Kochi,Attempt to Commit Offences,,0,value in absolute number,
2022,Kerala,Kochi,Others,,0,value in absolute number,
2022,Kerala,Kochi,Total,,23,value in absolute number,
2022,West Bengal,Kolkata,Tampering Computer Source documents,,0,value in absolute number,
2022,West Bengal,Kolkata,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,West Bengal,Kolkata,Computer Related Offences,Offences otherthan Ransomware (Sec 66),0,value in absolute number,
2022,West Bengal,Kolkata,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,West Bengal,Kolkata,Computer Related Offences,Identity Theft,0,value in absolute number,
2022,West Bengal,Kolkata,Computer Related Offences,Cheating by personation by using computer resource,0,value in absolute number,
2022,West Bengal,Kolkata,Computer Related Offences,Violation of Privacy,0,value in absolute number,
2022,West Bengal,Kolkata,Cyber Terrorism,,0,value in absolute number,
2022,West Bengal,Kolkata,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,5,value in absolute number,
2022,West Bengal,Kolkata,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,1,value in absolute number,
2022,West Bengal,Kolkata,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,0,value in absolute number,
2022,West Bengal,Kolkata,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,West Bengal,Kolkata,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,5,value in absolute number,
2022,West Bengal,Kolkata,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,West Bengal,Kolkata,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,West Bengal,Kolkata,Abetment to Commit Offences,,0,value in absolute number,
2022,West Bengal,Kolkata,Attempt to Commit Offences,,0,value in absolute number,
2022,West Bengal,Kolkata,Others,,0,value in absolute number,
2022,West Bengal,Kolkata,Total,,11,value in absolute number,
2022,Kerala,Kozhikode,Tampering Computer Source documents,,0,value in absolute number,
2022,Kerala,Kozhikode,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
2022,Kerala,Kozhikode,Computer Related Offences,Offences otherthan Ransomware (Sec 66),0,value in absolute number,
2022,Kerala,Kozhikode,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,0,value in absolute number,
2022,Kerala,Kozhikode,Computer Related Offences,Identity Theft,3,value in absolute number,
2022,Kerala,Kozhikode,Computer Related Offences,Cheating by personation by using computer resource,1,value in absolute number,
2022,Kerala,Kozhikode,Computer Related Offences,Violation of Privacy,0,value in absolute number,
2022,Kerala,Kozhikode,Cyber Terrorism,,0,value in absolute number,
2022,Kerala,Kozhikode,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,0,value in absolute number,
2022,Kerala,Kozhikode,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,0,value in absolute number,
2022,Kerala,Kozhikode,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,2,value in absolute number,
2022,Kerala,Kozhikode,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Kerala,Kozhikode,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Kerala,Kozhikode,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Kerala,Kozhikode,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Kerala,Kozhikode,Abetment to Commit Offences,,0,value in absolute number,
2022,Kerala,Kozhikode,Attempt to Commit Offences,,0,value in absolute number,
2022,Kerala,Kozhikode,Others,,0,value in absolute number,
2022,Kerala,Kozhikode,Total,,6,value in absolute number,
2022,Uttar Pradesh,Lucknow,Tampering Computer Source documents,,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Computer Related Offences,Ransomware (Section 66),359,value in absolute number,
2022,Uttar Pradesh,Lucknow,Computer Related Offences,Offences otherthan Ransomware (Sec 66),3,value in absolute number,
2022,Uttar Pradesh,Lucknow,Computer Related Offences,Dishonesty receiving stolen computer resource or communication device,1,value in absolute number,
2022,Uttar Pradesh,Lucknow,Computer Related Offences,Identity Theft,46,value in absolute number,
2022,Uttar Pradesh,Lucknow,Computer Related Offences,Cheating by personation by using computer resource,610,value in absolute number,
2022,Uttar Pradesh,Lucknow,Computer Related Offences,Violation of Privacy,6,value in absolute number,
2022,Uttar Pradesh,Lucknow,Cyber Terrorism,,2,value in absolute number,
2022,Uttar Pradesh,Lucknow,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting obscene material in Electronic Form,81,value in absolute number,
2022,Uttar Pradesh,Lucknow,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material containing Sexually explicit act in electronic form,26,value in absolute number,
2022,Uttar Pradesh,Lucknow,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Preservation and retention of information by intermediaries,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Publication or transmission of Obscene or Sexually Explicit Act in Electronic Form,Others,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Interception or Monitoring or decryption of Information,,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Unauthorized access or attempt to access to protected computer system,,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Abetment to Commit Offences,,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Attempt to Commit Offences,,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Others,,0,value in absolute number,
2022,Uttar Pradesh,Lucknow,Total,,1134,value in absolute number,
2022,Maharashtra,Mumbai,Tampering Computer Source documents,,0,value in absolute number,
2022,Maharashtra,Mumbai,Computer Related Offences,Ransomware (Section 66),0,value in absolute number,
